sPickTime,tPickTime,Comments,
283,5.645446898,5 seconds talking,
395,5.978885765,39 seconds on phone,
113,4.727387819,GOR-2018-7778 and GOR-2018-7786 collected together,
410,6.01615716,Throughout was talking to other staff,
44.75,3.801091445,This case and case GOR-2018-7691 and GOR-2018-7695 and GOR-2018-7688 were picked together and placed in the same cart,
216,5.375278408,-,
173,5.153291594,-,
225,5.416100402,-,
167,5.117993812,-,
401,5.993961427,,
332,5.805134969,,
357,5.877735782,,
171,5.141663557,,
352,5.863631176,,
112,4.718498871,"No preference card for the case, so used the ones in the binders. Therefore, there is no case number",
189,5.241747015,This case and case GOR-2018-8019 were picked together and placed in the same cart,
122,4.804021045,This case and case GOR-2018-8021 were picked together and placed in the same cart,
91.5,4.516338972,This case and case GOR-2018-8023 were picked together and placed in the same cart,
98,4.584967479,This case and case GOR-2018-8025 were picked together and placed in the same cart,
109,4.691347882,,
322,5.774551546,,
323,5.777652323,Adjustment to a previous cart that was picked yesterday but remained unused,
126,4.836281907,,
354,5.869296913,"Interruption during disposable picking, another clerk was restocking the shelves and had to help another staff",
142,4.955827058,,
130,4.86753445,,
320,5.768320996,1 item upstairs in c/c,
179,5.187385806,,
151.67,5.021707108,"3 cases picked together, one phone interruption during disposable picking. The 3 cases: GOR-2018-7696, GOR-2018-7709, GOR-2018-7710",
195,5.272999559,Helped another staff,
229,5.433722004,,
110,4.700480366,,
137,4.919980926,,
628,6.442540166,went to storage finding an instrument,
230.5,5.440250862,GOR-2018-8070 & GOR-2018-8071 are picked together into 1 case cart,
422,6.045005314,,
158,5.062595033,,
138,4.927253685,,
351,5.860786223,,
344,5.840641657,,
108,4.682131227,Readjust,
327,5.789960171,6 cases in 1 cart,
401,5.993961427,,
473,6.159095388,"Ella finished 3/4 of the case, the 1/4 part was already finished by someone else (the instrument part)",
280,5.634789603,,
175,5.164785974,,
127,4.844187086,,
213,5.361292166,,
109.67,4.697475857,"GOR-2018-7874, GOR-2018-7889 & GOR-2018-7888 are picked together into 1 case cart",
429,6.061456919,,
145.5,4.980176087,,
218,5.384495063,GOR-2018-6668 & GOR-2018-7606 are picked together into 1 case cart,
168,5.123963979,,
437,6.079933195,,
456,6.12249281,"Picked a quarter of the case (the case is a revision), have to wait for the rest instruments",
263,5.572154032,,
263,5.572154032,,
165,5.105945474,,
308,5.730099783,,
297,5.693732139,,
343,5.837730447,,
146,4.983606622,"adjust the case cart, only picked the disposables",
327,5.789960171,,
246,5.505331536,,
86.5,4.460144414,GOR-2018-6937 & GOR-2018-7724 are picked together into 1 case cart,
70.33,4.25319845,GOR-2018-7501 & GOR-2018-7383 & GOR-2018-3645 are picked together into 1 case cart,
189,5.241747015,,
135,4.905274778,,
225,5.416100402,2 cases in 1 cart,
181,5.198497031,"GOR-2018-8036GOR-2018-8003 done together",
178,5.18178355,,
219,5.38907173,,
220,5.393627546,,
361,5.888877958,Phone call,
565,6.336825731,,
131,4.875197323,,
553,6.315358002,Phone call,
239,5.476463552,Phone call,
502,6.21860012,,
473,6.159095388,,
67.17,4.207226719,"GOR-2018-8177GOR-2018-8178GOR-2018-8179GOR-2018-8176GOR-2018-8173GOR-2018-8174 picked together",
152,5.023880521,,
259,5.556828062,,
318,5.762051383,Phone call,
354,5.869296913,Phone call,
140,4.941642423,Talking to student,
256,5.545177444,,
87,4.465908119,,
203.5,5.315666005,This case and case GOR-2018-8045 were picked together and placed in the same cart,
186,5.225746674,,
357,5.877735782,,
549,6.308098442,,
448,6.104793232,,
146,4.983606622,,
343,5.837730447,,
109.25,4.693638834,This case and case GOR-2018-7987 and GOR-2018-7978 and GOR-2018-7979 were picked together and placed in the same cart,
429,6.061456919,,
450,6.109247583,,
389,5.963579344,,
257,5.549076085,,
310,5.736572297,,
563,6.333279628,,
228,5.429345629,"0:37-1:19 helping others, 3:11-3:21 talking to others",
287,5.659482216,talking to someone 8-20 sec after pick time started and talked between 2:22-2:44 on the phone,
321,5.771441123,"first 8 sec talking to me, 0:42-0:56 to other staff members",
385,5.953243334,,
313,5.746203191,,
209,5.342334252,,
276,5.620400866,,
95,4.553876892,Adjusted a previously picked case cart (picked in the morning) but not used,
130,4.86753445,Adjusted a previously picked case cart that was not used from the previous day,
92,4.521788577,Adjusted a previously picked case cart,
463,6.137727054,"Was supposed to be picked by the afternoon shift (3-5pm), but as there were only 2 cases for the afternoon, Ela picked them as part of morning shift.",
393,5.973809612,"Was supposed to be picked by the afternoon shift (3-5pm), but as there were only 2 cases for the afternoon, Ela picked them as part of morning shift.Reason instrument was missing: there are only 5 of this tray available in the hospital, 3 are being used as a part of today's surgery and 2 are in cleaning process. Will be available by surgery time",
394,5.976350909,1 phone call,
55,4.007333185,"Used a previously picked case cart as this was received as an emergency phone call from upstairs (surgery rescheduled to earlier), popular surgery so there was a case cart in the ""parking lot"" ",
150,5.010635294,"Initially was in the middle of being picked for Case GOR-2018-8382. But since they were able to grab the completed case cart from the ""parking lot"", this one did not necessarily need to be completed. But as Ela already started on this cart, she decided to finish to replenish the parking lot (popular surgery, will be needed sooner or later)",
313,5.746203191,Interruption during disposable picking to clarify another case from earlier with a co-worker.,
308,5.730099783,"Re-used a case cart picked but not used for the previous day's surgery that was under a different doctor. Hence no time to pick disposables, only needed adjustment.",
210,5.347107531,,
117,4.762173935,,
1642,7.40367029,phone call + help staff. At 18:29 stopped to pick cse 8545 that was supposed to be picked earlier in the day but was not,
444,6.095824562,-,
164,5.099866428,Staff Distractions,
169.5,5.132852927,This case and case GOR-2018-8157  were picked together and placed in the same cart,
362,5.891644212,,
223,5.407171771,,
212,5.356586275,,
389,5.963579344,,
86.33,4.458177162,This case and case GOR-2018-8462 & GOR-2018-8460 were picked together and placed in the same cart,
296,5.690359454,,
329,5.796057751,,
552,6.313548046,,
552,6.313548046,,
331,5.802118375,,
356,5.874930731,,
350,5.857933154,,
102,4.624972813,,
653,6.481577129,,
457,6.124683391,the instrument is placed in the central core,
145,4.976733742,,
279,5.631211782,,
193,5.262690189,,
501,6.216606101,2 phone calls,
82,4.406719247,Case was not picked during the day as it was supposed to be,
175,5.164785974,Staff Distractions,
451,6.11146734,talking to coworker,
255,5.541263545,picked together with 8334,
255,5.541263545,picked together with 8333,
286,5.655991811,,
146,4.983606622,,
177,5.176149733,,
395,5.978885765,,
157,5.056245805,,
210,5.347107531,done together with 8194,
210,5.347107531,done together with 8193,
459,6.12905021,,
501,6.216606101,,
246,5.505331536,,
217,5.379897354,,
205,5.323009979,"Phone call, had to bring a cart up",
140,4.941642423,,
175,5.164785974,,
316,5.755742214,,
573,6.350885717,"Phone call, answering questions from a coworker",
232,5.446737372,,
287,5.659482216,,
325,5.783825182,,
405,6.003887067,1 phone call during disposable picking phase,
127,4.844187086,,
973,6.880384082,,
325,5.783825182,"5 phone calls, one OR was requesting things one by one. 10:33 of the interruption was during disposable picking, 1:16 during instrument picking.",
358,5.880532986,,
258,5.552959585,,
258,5.552959585,,
297,5.693732139,"1 phone call, during disposable picking phase",
432,6.068425588,,
923,6.827629235,,
230,5.438079309,"Wrong item placed on shelf, had to clarify with person coming in to reshelf items during instrument picking phase",
236.5,5.465948208,"Picked together: GOR-2018-8626, GOR-2018-8628, same procedure but different case carts",
331,5.802118375,,
305,5.720311777,,
340,5.828945618,"Had to rearrange carts during picking, ran out of space for emergency. Interruption during instrument picking phase",
1089,6.993015123,"3 phone calls, during instrument picking phase. Needed to supply case carts upstairs as it was understaffed at the time",
339,5.826000107,1 phone call during disposable picking phase. ,
347,5.84932478,"revision case, incomplete, has to check with company about a certain item",
249,5.517452896,"add on, priority",
633,6.450470422,"2:16-3:39 phone, talking to coworker and phone and other errands from 4:19-6:12, 7:18-9:17 phone and other errands",
288,5.66296048,,
175,5.164785974,,
227,5.424950017,,
179,5.187385806,,
64.25,4.162781724,"now a light handle is available, GOR-2018-8472, GOR-2018-8353, GOR-2018-8352, GOR-2018-8355 picked together",
133,4.890349128,"0:52-1:06 distracted, GOR-2018-8350 and GOR-2018-8133 picked together",
262,5.568344504,,
353,5.866468057,"hand picked by memory, mostly disposable items",
442,6.091309882,revision case,
284,5.648974238,Phone(15s) + (47s) to do tasks because of the phone call,
393,5.973809612,,
